epoch,train_loss,train_f1,val_f1
1,0.0136903665966464,0.1350138786599004,0.314573511794394
2,0.0102136794667132,0.2854534407543799,0.3862594861290859
3,0.0095699774112307,0.3322761290030593,0.4204585534209494
4,0.009343398365004,0.3424689805283622,0.4641518972221168
5,0.0092501919953385,0.3565626872762441,0.4519145326329418
6,0.009238960310642,0.3685871574803666,0.425868184599742
7,0.0091432058893293,0.3680866586156542,0.4195284847054935
8,0.0090317701851082,0.3781047830031078,0.3972576836068083
9,0.0088739747150221,0.3933942649382897,0.4131294174209504
10,0.008750840829074,0.4015335251593913,0.4835420699025498
11,0.0085461763286182,0.4244553344627281,0.4793801984097598
12,0.0083342373880246,0.4493261233632623,0.5191923779831552
13,0.0081141126055749,0.4644235453376703,0.4734620257621921
14,0.0078433220103228,0.4888061774609582,0.5086405992763211
15,0.0075329821549754,0.5195242355373485,0.5345329333056968
16,0.0072014957930532,0.5624794041124177,0.5792240173303255
17,0.0068718644464065,0.5871509148556854,0.6222375488942714
18,0.0065175783984774,0.6164793765428012,0.5879456057162649
19,0.006144346736333,0.6511151185576153,0.6161654477490943
20,0.0057658780674942,0.6934191044365633,0.6017157850130262
21,0.0053679488002849,0.7199800478296581,0.6365376334443592
22,0.0049303974458541,0.7458519207702412,0.6498760595258023
23,0.0044821645732398,0.777558201633696,0.6444581627357194
24,0.0040142077988749,0.8046745958617935,0.6517892284221416
25,0.0035806126181327,0.8288311923864835,0.6534403014357204
26,0.0031788838784378,0.8592253949321842,0.6788385382637987
27,0.0027658883299204,0.8775020651770703,0.6592863189149867
28,0.0023827020809786,0.897255474253013,0.6639815643600916
29,0.0020450219169726,0.9081749528199666,0.6884781398864145
30,0.0017506492411733,0.9333220740462054,0.6613602942580358
31,0.0014687951642508,0.9465591493127228,0.6871810320225711
32,0.0012505135641596,0.9541033226567948,0.6667395567025082
33,0.0010285243039736,0.9608449239285468,0.656048467863466
34,0.000867595040817,0.9665430667353124,0.6665816077382077
35,0.0007078665269525,0.97648926465559,0.6787685572558851
36,0.0005754566790797,0.9818007451843008,0.6872163487428086
37,0.000476441227226,0.9847159337097952,0.7013415072524917
38,0.0003812891990148,0.9872132589439594,0.6964894810219907
39,0.0003251088938018,0.9913657589256728,0.703370365900141
40,0.0002739115497064,0.9923012667536244,0.6998504160258875
41,0.0002128603455571,0.9950081744551668,0.711966172077979
42,0.0001728394043567,0.9950878674735744,0.713465569845968
43,0.0001448825972805,0.9967566984688332,0.7143108874601011
44,0.0001158635101047,0.9973401228483938,0.7007039267612711
45,9.717849698519843e-05,0.9976280834681236,0.7173026057190858
46,8.383577524528336e-05,0.9981192466883744,0.7160825064776375
47,7.391178975397611e-05,0.998642839991278,0.7207058929591577
48,7.010673639542959e-05,0.9989440067950166,0.720684155860069
49,6.323523289841851e-05,0.998867281672946,0.7095349156926943
50,6.311105972474552e-05,0.9993671883175155,0.7170108250887673
